15.7,18.5,44765,7.2,4858979,92.7
16,10.3,73355,7.9,738432,1.1
19,17.4,51492,6.9,6828065,59.9
13.8,19.1,41995,5.8,2978204,56
11.3,15.3,64500,7.3,39144818,239.1
15.4,11.5,63909,5.2,5456574,52.4
22.1,10.5,71346,6.9,3590886,647.8
22,12.4,61255,5.8,945934,380.1
16.2,15.7,49426,7,20271272,308.3
12.7,17,51244,7.1,10214860,171.9
11.3,10.6,73486,4.9,1431603,131
14.2,15.1,48275,5.4,1654930,19.8
14.1,13.6,59588,6.9,12859995,222.1
19.5,14.5,50532,5.8,6619680,181.8
10.3,12.2,54736,4.2,3123899,55.5
11.8,13,53906,4.7,2911641,35.4
29.9,18.5,45215,6.5,4425092,109.5
19,19.6,45727,7.1,4670724,89.2
21.2,13.4,51494,5.4,1329328,37.6
20.9,9.7,75847,5.5,6006401,484.2
25.7,11.5,70628,5.8,6794422,643.8
20.4,15.8,51084,7.2,9922576,102.6
10.6,10.2,63488,4.2,5489594,63.1
12.3,22,40593,8.9,2992333,61.8
17.9,14.8,50238,5.3,6083672,87.3
13.8,14.6,49509,4.5,1032949,7
6.9,12.6,54996,3.2,1896190,24.5
20.4,14.7,52431,7.9,2890845,26.1
34.3,8.2,70303,4.2,1330608,142.3
16.3,10.8,72222,6.6,8958013,1027
25.3,20.4,45382,7.4,2085109,17.1
13.6,15.4,60850,6.5,19795791,362.9
15.8,16.4,47830,6.9,10042802,186.6
8.6,11,60557,2.6,756927,10.7
29.9,14.8,51075,6.4,11613423,259.1
19,16.1,48568,5.5,3911338,56
12,15.4,54148,6.8,4028977,41
26.3,13.2,55702,6.3,12802503,278
28.2,13.9,58073,6.2,1056298,683.7
15.7,16.6,47238,7.3,4896146,152.9
8.4,13.7,53017,4,858469,11.1
22.2,16.7,47275,6.2,6600299,156.6
9.4,15.9,55653,5.5,27469114,102.3
23.4,11.3,62912,4,2995919,35.3
16.7,10.2,56990,3.8,626042,65.1
12.4,11.2,66262,5.5,8382993,196
14.7,12.2,64129,6,7170351,100.6
41.5,17.9,42019,7.3,1844128,76.1
15.5,12.1,55638,4.3,5771337,88.1
16.4,11.1,60214,4.8,586107,6
